SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_code_other_address,SA2_name_other_address,At_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,School_bus,Train,Bicycle,Walk_or_jog,Ferry,other,Total
360800,Myross Bush,361700,Glengarry,0,6,0,0,0,0,0,0,0,0,0,9
361400,Hargest,361700,Glengarry,0,12,0,0,0,0,0,0,0,0,0,15
329500,Hoon Hay South,326900,Spreydon West,0,6,0,0,0,0,0,0,0,0,0,12
151400,Otahuhu South West,146700,Panmure West,0,6,0,0,0,0,0,0,0,0,0,6
119700,Windsor Park,123500,Wairau Valley ,0,30,6,0,0,0,0,0,0,0,0,39
329700,Sydenham South,320400,Hornby Central,0,24,0,0,0,0,0,0,0,0,0,39
213900,Marewa West,213800,Tamatea East,0,0,0,0,0,0,0,0,0,0,0,6
154400,Otara Central,147400,Sylvia Park,0,9,0,0,0,0,0,0,0,0,0,9
158100,Ormiston South,123500,Wairau Valley ,0,6,0,0,0,0,0,0,0,0,0,6
197400,Papamoa Beach South,195800,Te Maunga North,0,15,0,0,0,0,0,0,0,0,0,15
326900,Spreydon West,320000,Northlands (Christchurch City),0,9,0,0,0,0,0,0,0,0,0,12
131500,Glen Eden Central,130100,Glen Eden Rosier,0,6,0,0,0,0,0,0,0,0,0,9
110900,Dome Valley-Matakana,111500,Tawharanui Peninsula,0,18,0,0,0,0,0,0,0,0,0,24
114900,Whangaparoa Central,136000,Eden Terrace,0,6,0,0,0,0,0,0,0,0,0,15
336100,Lincoln East,325800,Christchurch Central-North,0,6,0,0,0,0,0,0,0,0,0,9
122000,Swanson,125100,Henderson Lincoln East,0,36,0,0,0,0,0,0,0,0,0,42
129900,Point Chevalier East,135900,Symonds Street East,0,6,0,0,0,0,0,0,0,0,0,9
161300,Randwick Park West,150700,Pakuranga Heights East,0,6,0,0,0,0,0,0,0,0,0,9
139800,Mount Roskill White Swan,133300,Quay Street-Customs Street,0,24,0,0,15,0,0,0,0,0,0,45
110400,Cape Rodney,111200,Puhoi Valley,0,6,0,0,0,0,0,0,0,0,0,9
197600,Wairakei ,194600,Gate Pa,0,6,0,0,0,0,0,0,0,0,0,6
125300,Te Atatu Peninsula East,144200,Ellerslie West,0,9,0,0,0,0,0,0,0,0,0,12
362000,Crinan,361600,Richmond (Invercargill City),0,0,0,0,0,0,0,0,0,0,0,6
129100,Sunnyvale East,156000,Botany Junction,0,6,0,0,0,0,0,0,0,0,0,6
121900,Totara Vale South,122800,Birkdale North,0,0,0,0,0,0,0,0,0,0,0,9
127800,Henderson Valley Park,133900,New Lynn Central,0,18,0,0,0,0,0,0,0,0,0,21
245900,Delaney,246300,Manuka,0,0,0,0,0,0,0,0,0,0,0,6
306200,The Brook,304600,Tahuna Hills,0,6,0,0,0,0,0,0,0,0,0,9
201400,Owhata East,198900,Fairy Springs,0,0,0,0,0,0,0,0,0,0,0,6
330100,Woolston North,328400,Wainoni,0,15,0,0,0,0,0,0,0,0,0,21
142500,Waikowhai South,141500,Epsom East,0,0,0,0,0,0,0,0,0,0,0,9
331300,Cashmere East,322200,Rutland,0,0,0,0,0,0,0,0,0,0,0,9
147800,Half Moon Bay West,149800,Pakuranga Central,0,15,0,0,0,0,0,0,0,0,0,21
214600,Bledisloe Park,213200,Taradale South,0,18,0,0,0,0,0,0,0,0,0,30
112800,Hatfields Beach,138500,Newmarket,0,0,0,0,0,0,0,0,0,0,0,6
316800,Clearwater,324200,Riccarton Central,0,9,0,0,0,0,0,0,0,0,0,9
154000,Papatoetoe North,136100,Grafton,0,15,0,0,0,0,9,0,0,0,0,24
144900,Stonefields West,133700,Shortland Street,0,9,0,0,0,0,9,0,0,0,0,18
211200,Mangateretere,214300,Napier Central,0,12,0,0,0,0,0,0,0,0,0,12
308300,Witherlea West,308100,Whitney East,0,30,0,0,0,0,0,0,0,0,0,30
130300,Westmere South-Western Springs,131600,Grey Lynn North,0,15,0,0,0,0,0,0,15,0,0,42
163300,Papakura North East,163200,Papakura Central,0,27,0,0,0,0,0,0,0,0,0,42
119000,Rothesay Bay,136000,Eden Terrace,0,15,0,0,0,0,0,0,0,0,0,18
360300,Gore South,359800,Gore North,0,0,0,0,0,0,0,0,0,0,0,9
323600,Wigram South,328800,Lancaster Park,0,9,0,0,0,0,0,0,0,0,0,9
193700,Mount Maunganui South,194400,Tauranga Hospital,0,54,9,0,0,0,0,0,0,0,0,69
172800,Whatawhata East,173000,Hamilton Park,0,12,0,0,0,0,0,0,0,0,0,12
160900,Manurewa South,150100,Otahuhu Central,0,9,0,0,0,0,0,0,0,0,0,15
123200,Te Atatu Peninsula North West,133800,Hobson Ridge South,0,6,0,0,0,0,0,0,0,0,0,6
123200,Te Atatu Peninsula North West,128700,Rosebank Peninsula,0,36,9,0,0,0,0,0,0,0,0,51
237800,Paraparaumu Central,243700,Petone Central,0,0,0,0,0,0,0,0,0,0,0,6
172700,Horsham Downs,175200,Te Rapa North,0,21,9,0,0,0,0,0,0,0,0,30
209000,Lochain Park,208900,Omahu Strip,0,138,12,24,0,0,0,9,0,0,0,192
318800,Redwood West,319100,Islington-Hornby Industrial,0,24,0,0,0,0,0,0,0,0,0,36
328600,Aranui,328800,Lancaster Park,0,21,6,0,0,0,0,0,0,0,0,27
119200,Hobsonville,136100,Grafton,0,0,0,0,0,0,0,0,0,0,0,6
313500,Eyrewell,315000,Southbrook,0,24,6,0,0,0,0,0,0,0,0,33
200900,Owhata West,198100,Ngongotaha East,0,0,0,0,0,0,0,0,0,0,0,6
122700,Glenfield North,127400,Birkenhead South,0,15,0,0,0,0,0,0,0,0,0,24
246100,Waterloo East,242200,Trentham South,0,9,0,0,0,0,0,0,0,0,0,12
338500,Hampstead,338300,Ashburton East,0,60,12,6,0,0,0,0,9,0,0,90
113900,Red Beach West,133200,Queen Street,0,0,0,0,9,0,0,0,0,0,0,12
321100,Hornby South,316700,Christchurch Airport,0,45,0,0,0,0,0,0,0,0,0,60
130200,Saint Marys Bay,137700,Mount Eden North East,0,9,0,0,0,0,0,0,0,0,0,15
127200,Akoranga,147700,Mount Wellington Industrial,0,0,0,0,0,0,0,0,0,0,0,6
300500,Takaka,300600,Pohara-Abel Tasman,0,27,0,0,0,0,0,0,0,0,0,36
131200,Ponsonby East,127200,Akoranga,0,6,0,0,0,0,0,0,0,0,0,9
113100,Millwater North,114600,Stanmore Bay West,0,6,0,0,0,0,0,0,0,0,0,9
139300,Maungawhau,141200,Three Kings East,0,0,0,0,0,0,0,0,0,0,0,6
148600,Favona West,125100,Henderson Lincoln East,0,9,0,0,0,0,0,0,0,0,0,9
113400,Dairy Flat North,145900,Penrose,0,6,0,0,0,0,0,0,0,0,0,9
328900,Phillipstown,324600,Shirley East,0,12,0,0,0,0,0,0,0,0,0,18
238600,Paekakariki,238500,Raumati South,0,15,0,0,0,0,0,0,0,0,0,21
176700,St James,175900,Rototuna Central,0,18,0,0,0,0,0,0,0,0,0,18
196800,Pacific View,192100,Te Puke East,0,12,0,0,0,0,0,0,0,0,0,18
350300,East Taieri,349900,Mosgiel Central,0,51,12,0,0,0,0,0,0,0,0,75
195800,Te Maunga North,197300,Doncaster,0,0,0,0,0,0,0,0,0,0,0,6
136000,Eden Terrace,138500,Newmarket,0,24,6,0,27,0,15,9,51,0,0,135
313600,West Eyreton,314400,Rangiora Central,0,24,0,0,0,0,0,0,0,0,0,30
150900,Otahuhu East,138500,Newmarket,0,0,0,0,0,0,0,0,0,0,0,6
134300,Karangahape,136000,Eden Terrace,0,9,0,0,0,0,0,0,18,0,0,36
248800,Ngaio North,253000,Newtown West,0,0,0,0,0,0,0,0,0,0,0,6
307000,Awatere,306800,Waitohi (Marlborough District),0,0,0,0,0,0,0,0,0,0,0,6
143300,Ellerslie Central,118600,North Harbour,0,12,0,0,0,0,0,0,0,0,0,18
314000,Kingsbury,320000,Northlands (Christchurch City),0,6,0,0,0,0,0,0,0,0,0,6
353800,Fernhill,354200,Caversham,0,0,0,0,0,0,0,0,0,0,0,12
218400,Fitzroy-Glen Avon,216800,Blagdon-Lynmouth,0,6,0,0,0,0,0,0,0,0,0,6
329100,Somerfield East,331800,Brookhaven-Ferrymead,0,6,0,0,0,0,0,0,0,0,0,9
113400,Dairy Flat North,136000,Eden Terrace,0,0,0,0,0,0,0,0,0,0,0,6
149800,Pakuranga Central,133500,Grey Lynn East,0,6,0,0,0,0,0,0,0,0,0,6
127000,Te Atatu South-Central,132400,Victoria Park ,0,12,0,0,9,0,0,0,0,0,0,30
126900,Western Heights (Auckland),135800,St Lukes,0,12,0,0,0,0,0,0,0,0,0,15
249700,Newlands South,249500,Newlands North,0,15,0,0,0,0,0,0,12,0,0,30
133700,Shortland Street,133200,Queen Street,0,0,0,0,0,0,0,0,99,0,0,105
324600,Shirley East,323400,Shirley West,0,12,0,0,0,0,0,0,0,0,0,21
229600,Takaro North,231600,Esplanade,0,18,0,0,0,0,0,0,0,0,0,21
131900,Mount Albert West,134200,Mount Albert Central,0,9,0,0,0,0,0,0,0,0,0,18
213700,Taradale Central,210100,Tomoana,0,9,0,0,0,0,0,0,0,0,0,12
351600,Roslyn (Dunedin City),352100,Belleknowes,0,0,0,0,0,0,0,0,0,0,0,6
120600,Massey Central,134100,Queen Street South West,0,6,0,0,0,0,0,0,0,0,0,9
137400,Parnell East,136100,Grafton,0,30,0,0,0,0,0,6,12,0,0,57
122100,Bayview South,134400,Kingsland,0,6,0,0,0,0,0,0,0,0,0,6
326900,Spreydon West,321200,Ilam University,0,6,0,0,0,0,0,0,0,0,0,15
142800,One Tree Hill,133500,Grey Lynn East,0,15,0,0,0,0,0,0,0,0,0,24
147800,Half Moon Bay West,154600,Botany Central,0,18,0,0,0,0,0,0,0,0,0,18
123300,Glenfield South West,123500,Wairau Valley ,0,129,24,0,9,0,0,0,0,0,0,171
158900,Tuscany Heights,132700,Hobson Ridge North,0,0,0,0,0,0,0,0,0,0,0,9
148100,Sunnyhills West-Pakuranga North,133500,Grey Lynn East,0,6,0,0,0,0,0,0,0,0,0,9
216400,Omata,218300,Welbourn,0,0,0,0,0,0,0,0,0,0,0,9
362900,Kingswell,362200,Kew (Invercargill City),0,36,0,0,0,0,0,6,9,0,0,54
141600,Remuera Waiata,155500,Manukau Central,0,9,0,0,0,0,0,0,0,0,0,12
128300,McLaren Park,135300,Symonds Street West,0,0,0,0,0,0,0,0,0,0,0,6
143300,Ellerslie Central,123500,Wairau Valley ,0,0,0,0,0,0,0,0,0,0,0,6
132100,Grey Lynn West,147700,Mount Wellington Industrial,0,12,0,0,0,0,0,0,0,0,0,21
143200,Meadowbank East,138500,Newmarket,0,33,0,0,15,0,0,0,0,0,0,51
128500,Te Atatu South-McLeod South,135800,St Lukes,0,9,0,0,0,0,0,0,0,0,0,9
130600,Avondale Rosebank ,133900,New Lynn Central,0,27,0,0,0,0,0,0,0,0,0,42
168500,Whangamata,167700,Thames Central,0,21,0,0,0,0,0,0,0,0,0,27
134400,Kingsland,133500,Grey Lynn East,0,30,0,0,0,0,0,0,12,0,0,57
138100,Balmoral,136900,Eden Valley,0,15,0,0,0,0,0,0,15,0,0,33
184400,Sherwin Park,184700,Tokanui,0,12,0,0,0,0,0,0,0,0,0,12
252200,Brooklyn South,250900,Thorndon,0,15,0,0,30,0,0,0,9,0,0,63
138900,Blockhouse Bay South,114900,Whangaparoa Central,0,0,0,0,0,0,0,0,0,0,0,6
192600,Matua North,195400,Pyes Pa North,0,0,0,0,0,0,0,0,0,0,0,6
145700,Stonefields East,144200,Ellerslie West,0,18,0,0,0,0,0,0,0,0,0,21
181100,Fitzroy ,177600,Beerescourt,0,0,0,0,0,0,0,0,0,0,0,6
212300,Bay View,213400,Hospital Hill,0,0,0,0,0,0,0,0,0,0,0,6
326300,Oaklands East,328000,Halswell South,0,18,0,0,0,0,0,0,12,0,0,33
247400,Homedale West,244300,Hutt Central North,0,63,0,0,18,0,0,0,0,0,0,93
137000,Sandringham Central,136100,Grafton,0,6,0,0,0,0,0,0,0,0,0,15
323800,St Albans North,325800,Christchurch Central-North,0,9,0,0,0,0,0,0,0,0,0,18
156300,East Tamaki Heights,133200,Queen Street,0,15,0,0,0,0,0,0,0,0,0,21
