SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_code_other_address,SA2_name_other_address,At_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,School_bus,Train,Bicycle,Walk_or_jog,Ferry,other,Total
137300,Green Bay North,140200,Epsom Central-North,0,0,0,0,0,0,0,0,0,0,0,9
207000,Kaiti South,206200,Mangapapa East,0,0,0,6,0,0,0,0,0,0,0,9
315800,Silverstream (Waimakariri District),316100,Kaiapoi Central,0,0,0,6,0,0,0,0,0,0,0,12
243300,Korokoro,251300,Wellington University,0,6,0,0,0,0,0,0,0,0,0,9
210600,Tomoana Crossing,209400,Frimley,0,0,0,21,0,0,0,0,0,0,0,27
197200,Papamoa Beach North,195800,Te Maunga North,0,0,0,6,0,0,0,0,0,0,0,9
191100,Omokoroa Rural,193100,Bellevue,0,0,0,0,0,9,0,0,0,0,0,12
136800,Owairaka East,134200,Mount Albert Central,0,0,0,42,0,0,0,0,51,0,0,102
326800,Richmond South (Christchurch City),327100,Christchurch Central-South,0,21,0,9,15,0,0,6,12,0,0,60
155400,Botany South,153800,Somerville,0,0,0,12,0,18,0,0,0,0,0,36
359100,Edendale-Woodlands,362100,Georgetown,0,0,0,0,0,18,0,0,0,0,0,21
154900,Papatoetoe Central,154000,Papatoetoe North,0,0,0,6,0,0,0,0,0,0,0,9
237800,Paraparaumu Central,238500,Raumati South,0,0,0,18,0,0,0,0,0,0,0,21
335700,Prebbleton,323200,Mona Vale,0,0,0,0,12,0,0,0,0,0,0,18
172400,Te Kowhai,179400,Hamilton Central,0,9,0,0,0,0,0,0,0,0,0,9
211600,Havelock North-Central,211500,Karanema-St Hill,0,0,0,0,0,0,0,0,0,0,0,6
142700,Saint Heliers West,145400,Panmure Glen Innes Industrial,0,0,0,0,0,0,0,0,0,0,0,9
122200,Campbells Bay,123700,Castor Bay,0,0,0,75,0,6,0,9,72,0,0,162
132600,New Lynn North West,137300,Green Bay North,0,0,0,18,0,0,0,0,0,0,0,21
229100,Cloverlea (Palmerston North City),231400,Milverton,0,0,0,6,0,0,0,0,0,0,0,6
143300,Ellerslie Central,142200,Greenlane North,0,0,0,6,0,0,0,0,0,0,0,9
108200,Sherwood Rise,106000,Kamo Central,0,0,0,0,0,0,0,0,0,0,0,6
106500,Tikipunga South,107400,Tarewa,0,33,0,9,0,0,0,0,0,0,0,51
178500,Fairview Downs,176300,Te Rapa South,0,9,0,0,9,0,0,0,0,0,0,21
